	#	#	#	#	https://www.millesima.fr/	
producteur-chateau-vieux-maillet	Château Vieux Maillet	1	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-vieux-maillet.html	
producteur-domaine-de-chevalier	Domaine de Chevalier	32	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-domaine-de-chevalier.html	
producteur-chateau-bouscasse	Château Bouscassé	4	#	||accueil|||tous nos vins|||france|||région|||sud-ouest|||producteur|	https://www.millesima.fr/producteur-chateau-bouscasse.html	
producteur-chateau-de-montaigne	Château de Montaigne	2	#	||accueil|||tous nos vins|||france|||région|||sud-ouest|||producteur|	https://www.millesima.fr/producteur-chateau-de-montaigne.html	
bergerac	Bergerac	2	#	||accueil|||tous nos vins|||france|||région|||sud-ouest|||appellation|	https://www.millesima.fr/bergerac.html	
producteur-chateau-de-pibarnon	Château de Pibarnon	5	#	||accueil|||tous nos vins|||france|||région|||provence|||producteur|	https://www.millesima.fr/producteur-chateau-de-pibarnon.html	
bandol	Bandol	29	#	||accueil|||tous nos vins|||france|||région|||provence|||appellation|	https://www.millesima.fr/bandol.html	
producteur-clos-des-lunes	Clos des Lunes	5	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-clos-des-lunes.html	
AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=SMiVFc%2BekyYd2Zq54WvQNOhVSRNwOsB%2BuAcbu9PL6atJKHgmxNwr9%2FYyK9Z%2FNDqFmq2n4nEAgrtDR2EG0eoPuL5PqXNfLhVytdp03p5UW3PvQ%2BnkuW96f1bL7eGAkr6ws%2FdaLkHG05PHe1biWgtmBXuY98OUq7UygP1iGiELUL798N%2BbZQfJfx7%2FMM%2Fw5eRziZVGgB6B8iSxAXKFKe%2BwOA%3D%3D&ddkey=https%3ARESTOrderCalculate	#	#	#	#	https://www.millesima.fr/webapp/wcs/stores/servlet/AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=SMiVFc%2BekyYd2Zq54WvQNOhVSRNwOsB%2BuAcbu9PL6atJKHgmxNwr9%2FYyK9Z%2FNDqFmq2n4nEAgrtDR2EG0eoPuL5PqXNfLhVytdp03p5UW3PvQ%2BnkuW96f1bL7eGAkr6ws%2FdaLkHG05PHe1biWgtmBXuY98OUq7UygP1iGiELUL798N%2BbZQfJfx7%2FMM%2Fw5eRziZVGgB6B8iSxAXKFKe%2BwOA%3D%3D&ddkey=https%3ARESTOrderCalculate	
rose-2016	Rosé 2016	48	#	#	https://www.millesima.fr/rose-2016	
pinot-noir	Pinot Noir	1	#	#	https://www.millesima.fr/pinot-noir.html	
bordeaux-producteurs	Producteur	2	#	||accueil|||bordeaux|	https://www.millesima.fr/bordeaux/bordeaux-producteurs.html	
cinsault	Cinsault	12	#	#	https://www.millesima.fr/cinsault.html	
rolle	Rolle	12	#	#	https://www.millesima.fr/rolle.html	
producteur-domaine-de-la-rouillere	Domaine La Rouillère	6	 A deux pas du célèbre village de Saint-Tropez , sur la route entre Gassin et Ramatuelle, un petit cabanon de vigneron attirera votre attention : vous êtes au Domaine La Rouillère . Bastide et domaine viticole de la presqu'île de Saint-Tropez, nichés au coeur des pinèdes et de 40 ha de vignes, la propriété doit son nom à un ruisseau surgi des collines de Gassin. La vigne a ici trouvé son Eden. Et Bertrand Letartre, l'actuel propriétaire - industriel Lillois - ne s'y est pas trompé en choisissant ce lieu paradisiaque. Le respect des pratiques traditionnelles est depuis toujours une des valeurs fondamentales suivi par la propriété mais bien plus accentuée depuis la reprise par Bertrand Letartre, lequel a beaucoup investi pour restructurer le vignoble et doter le domaine d'infrastructures modernes.	||accueil|||tous nos vins|||france|||région|||provence|||producteur|	https://www.millesima.fr/producteur-domaine-de-la-rouillere.html	
CategoryDisplay?storeId=11652&urlLangId=-2&beginIndex=0&urlRequestType=Base&categoryId=267708&pageView=&langId=-2&catalogId=10554	Nebbiolo	248	#	#	https://www.millesima.fr/CategoryDisplay?storeId=11652&urlLangId=-2&beginIndex=0&urlRequestType=Base&categoryId=267708&pageView=&langId=-2&catalogId=10554	
AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/bordeaux/AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	
producteur-domaine-de-la-solitude	Domaine de la Solitude	7	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-domaine-de-la-solitude.html	
producteur-chateau-la-croix-du-casse	Château La Croix du Casse	12	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-la-croix-du-casse.html	
france-bordeaux-blend	Bordeaux Blend	1	#	#	https://www.millesima.fr/france-bordeaux-blend.html	
producteur-chateau-liot	Château Liot	11	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-liot.html	
france-mourvedre	Mourvèdre	45	#	#	https://www.millesima.fr/france-mourvedre.html	
producteur-miraval	Miraval	5	#	||accueil|||tous nos vins|||france|||région|||provence|||producteur|	https://www.millesima.fr/producteur-miraval.html	
producteur-chateau-font-du-broc	Château Font du Broc	4	#	||accueil|||tous nos vins|||france|||région|||provence|||producteur|	https://www.millesima.fr/producteur-chateau-font-du-broc.html	
france-pinot-noir	Pinot Noir	1	#	#	https://www.millesima.fr/france-pinot-noir.html	
producteur-pelissero	Pelissero	15	#	||accueil|||italie|||région|||piémont|||producteur|	https://www.millesima.fr/producteur-pelissero.html	
producteur-chateau-senejac	Château Sénéjac	6	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-senejac.html	
producteur-chateau-haut-brion	Château Haut-Brion	68	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-haut-brion.html	
producteur-chateau-grand-puy-lacoste	Château Grand-Puy-Lacoste	27	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-grand-puy-lacoste.html	
producteur-chateau-leoville-las-cases	Château Léoville Las Cases	23	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-leoville-las-cases.html	
producteur-chateau-la-lagune	Château La Lagune	19	 3ème cru classé appartenant à l'appellation Haut-Médoc , le château La Lagune renaît dans les années 1960 et s'équipe des installations les plus modernes. Le vignoble s'étend sur un terroir de 70 hectares et est planté en 60% de Cabernet sauvignon, 30% de Merlot et 10% de Petit verdot. Le château La Lagune a su se tailler une belle réputation dans la famille des vins. Les vins du domaine sont appréciés pour leur finesse, leur élégance et leur harmonie. Ils gagnent en richesse et en structure. C'est Caroline Frey , jeune oenologue et dynamique propriétaire, qui manage avec brio le château La Lagune , située au sud de l'appellation, non loin de Bordeaux.	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-la-lagune.html	
producteur-chateau-saint-pierre	Château Saint-Pierre	17	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-saint-pierre.html	
producteur-chateau-rabaud-promis	Château Rabaud-Promis	5	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-rabaud-promis.html	
producteur-chateau-marquis-de-terme	Château Marquis de Terme	9	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-marquis-de-terme.html	
producteur-chateau-la-tour-de-mons	Château La Tour de Mons	14	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-la-tour-de-mons.html	
producteur-chateau-phelan-segur	Château Phélan Ségur	8	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-phelan-segur.html	
producteur-couvent-des-jacobins	Couvent des Jacobins	8	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-couvent-des-jacobins.html	
producteur-chateau-rouget	Château Rouget	7	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-rouget.html	
producteur-chateau-gloria	Château Gloria	15	 Le château Gloria est la création d'un homme, Henri Martin, qui avec passion, constitua un vignoble de 50 ha pendant plusieurs décennies, par l'acquisition de parcelles provenant exclusivement de grands crus classés. Le vignoble aujourd'hui de renommée, porte en son sein le terroir et les cépages typiques d'un Saint-Julien . Les vendanges manuelles et la vinification traditionnelle assure au vin un succès et un plaisir par sa puissance, son fruité et sa texture soyeuse fidèle.	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-gloria.html	
producteur-chateau-lafaurie-peyraguey	Château Lafaurie-Peyraguey	10	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-lafaurie-peyraguey.html	
producteur-chateau-palmer	Château Palmer	21	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-palmer.html	
producteur-chateau-hourtin-ducasse	Château Hourtin-Ducasse	1	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-hourtin-ducasse.html	
producteur-chateau-la-fleur-peyrabon	Château La Fleur Peyrabon	18	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-la-fleur-peyrabon.html	
cru-bourgeois	Cru bourgeois	150	#	#	https://www.millesima.fr/cru-bourgeois.html	
1er-cru-classe	1er cru classé	209	#	#	https://www.millesima.fr/1er-cru-classe.html	
france-sauvignon-blanc	Sauvignon Blanc	142	#	#	https://www.millesima.fr/france-sauvignon-blanc.html	
producteur-clos-haut-peyraguey	Clos Haut-Peyraguey	9	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-clos-haut-peyraguey.html	
producteur-chateau-pontet-canet	Château Pontet-Canet	22	 Le Château Pontet Canet , par ses 81 hectares et son terroir de graves et d'argilo-calcaire, se situe au coeur de l'appellation Pauillac . Justifiant d'une production en biodynamie, les vins appartiennent à l'héritage médocain. D'un rubis pourpre, son nez typique de fruits noirs, réglisse, pruneau, cèdre complète un palais alliant densité et amplitude. Musclé mais reposant sur la sérénité d'un classique, la famille Tesseron perdure aujourd'hui trois siècles d'une tradition initiée par Jean-François de Pontet, au lieu-dit Canet.	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-pontet-canet.html	
producteur-chateau-le-boscq	Château Le Boscq	7	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-le-boscq.html	
producteur-domaine-dyckerhoff	Domaine Dyckerhoff	1	 Le domaine Dyckerhoff est situé sur les rives de l'Arnon, en bordure du Cher et produit des vins de Reuilly . Couvrant une superficie de 6 hectares, son vignoble est planté sur des coteaux de marne calcaire à pentes douces ainsi que sur des hautes terrasses de sables et de graves. L'encépagement du vignoble du domaine Dyckerhoff est composé de 80% de Sauvignon Blanc , de 10% de Pinot Gris et de 10% de Pinot Noir . Respectueuse de la nature et des hommes, la propriété a rejoint récemment le Label Terra Vitis . Les vins de Reuilly élaborés par la maison Dyckerhoff sont élevés dans un chai moderne selon une vinification traditionnelle avec éléveage sur lies fines et remontages réguliers, le tout permettant l'obtention de volume et de gras dans les vins.	||accueil|||tous nos vins|||france|||région|||loire|||producteur|	https://www.millesima.fr/producteur-domaine-dyckerhoff.html	
pinot-gris	Pinot Gris	35	#	#	https://www.millesima.fr/pinot-gris.html	
loire-producteurs	Producteur	144	#	||accueil|||tous nos vins|||france|||région|||loire|	https://www.millesima.fr/tous-nos-vins/france/france-regions/loire/loire-producteurs.html	
loire	Loire	144	#	||accueil|||tous nos vins|||france|||région|	https://www.millesima.fr/tous-nos-vins/france/france-regions/loire.html	
grand-cru-classe	Grand cru classé	129	#	#	https://www.millesima.fr/grand-cru-classe.html	
AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-vins/france/france-regions/loire/AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	
AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-vins/france/france-regions/AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	
LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-vins/france/france-regions/LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	
producteur-thierry-germain-domaine-des-roches-neuves	Thierry Germain - Domaine des Roches Neuves	23	 Issu d'une famille de viticulteurs Bordelais, Thierry Germain a réalisé très tôt son rêve de vigneron : être à la tête de son propre domaine. Après avoir recherché des terres appropriées de Bordeaux jusqu'en Hongrie, il a finalement jeté son dévolu en Anjou ( Vallée de la Loire ) sur le domaine des Roches Neuves , une propriété produisant sur 26 hectares des vins en appellation Saumur et Saumur-Champigny . Quand il acquiert ce domaine en 1993, cette propriété jouit déjà d'une réputation sérieuse mais lui fait gravir des échelons supplémentaires avec la Biodynamie .	||accueil|||tous nos vins|||france|||région|||loire|||producteur|	https://www.millesima.fr/producteur-thierry-germain-domaine-des-roches-neuves.html	
gamay	Gamay	4	#	#	https://www.millesima.fr/gamay.html	
saumur	Saumur	16	#	||accueil|||tous nos vins|||france|||région|||loire|||appellation|	https://www.millesima.fr/saumur.html	
chenin-blanc	Chenin Blanc	6	#	#	https://www.millesima.fr/chenin-blanc.html	
producteur-chateau-le-bon-pasteur	Château Le Bon Pasteur	18	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-le-bon-pasteur.html	
AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=N2bNgSNyNAQcXK3%2FvAdQdSXmzkiX5q5r2ghT4jTMz9fIUL9tHujbedj68d2l6O4r0mk8a6990ASlT6V7qKNEhBDI%2FY3JRy2se4FqNJtT2QFwKiWA0iglUykzhNLPPtqcWWE3N5v0lCuEtriJDW5xNvhdyAtYlCfMdEmOJPEsJsmX5QJ09UZ6zHNJSfxWsU9TjD%2B1zN5kMpNFX2RGdijJ6w%3D%3D&ddkey=https%3ARESTOrderCalculate	#	#	#	#	https://www.millesima.fr/webapp/wcs/stores/servlet/AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=N2bNgSNyNAQcXK3%2FvAdQdSXmzkiX5q5r2ghT4jTMz9fIUL9tHujbedj68d2l6O4r0mk8a6990ASlT6V7qKNEhBDI%2FY3JRy2se4FqNJtT2QFwKiWA0iglUykzhNLPPtqcWWE3N5v0lCuEtriJDW5xNvhdyAtYlCfMdEmOJPEsJsmX5QJ09UZ6zHNJSfxWsU9TjD%2B1zN5kMpNFX2RGdijJ6w%3D%3D&ddkey=https%3ARESTOrderCalculate	
producteur-chateau-soutard	Château Soutard	3	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-soutard.html	
AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=XLveD9TbovhXV5hD92rqPWCDp368uIpxdlnrW3h6XitH8xK%2BezG%2BVzmiu2ClEB7%2B6OApVkf0KlK4Tvfnxd852tM21EUfMU91VXDyxqNb4FxTXFVret5KbVoXp2fdNx6oCn5ufUOAWdCuZ1IAXj1xGbH7a0M3Dw9i23RYXOmOTlkr4LvGbFMPKcV1uqGcRXRUzY0d4BtycRiqqBQd7DtdyA%3D%3D&ddkey=https%3ARESTOrderCalculate	#	#	#	#	https://www.millesima.fr/webapp/wcs/stores/servlet/AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=XLveD9TbovhXV5hD92rqPWCDp368uIpxdlnrW3h6XitH8xK%2BezG%2BVzmiu2ClEB7%2B6OApVkf0KlK4Tvfnxd852tM21EUfMU91VXDyxqNb4FxTXFVret5KbVoXp2fdNx6oCn5ufUOAWdCuZ1IAXj1xGbH7a0M3Dw9i23RYXOmOTlkr4LvGbFMPKcV1uqGcRXRUzY0d4BtycRiqqBQd7DtdyA%3D%3D&ddkey=https%3ARESTOrderCalculate	
ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-vins/france/france-regions/ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	
france-pinot-gris	Pinot Gris	35	#	#	https://www.millesima.fr/france-pinot-gris.html	
appellation-alsace	Alsace	166	#	||accueil|||tous nos vins|||france|||région|||appellation|	https://www.millesima.fr/appellation-alsace.html	
Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	#	#	#	#	https://www.millesima.fr/tous-nos-vins/france/france-regions/Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	
gewurztraminer	Gewurztraminer	43	#	#	https://www.millesima.fr/gewurztraminer.html	
alsace-appellations	Appellation	166	#	||accueil|||tous nos vins|||france|||région|||alsace|	https://www.millesima.fr/tous-nos-vins/france/france-regions/alsace/alsace-appellations.html	
grand-cru	Grand cru	45	#	#	https://www.millesima.fr/grand-cru.html	
producteur-michel-chevre	Michel Chevré	4	#	||accueil|||tous nos vins|||france|||région|||loire|||producteur|	https://www.millesima.fr/producteur-michel-chevre.html	
loire-appellations	Appellation	144	#	||accueil|||tous nos vins|||france|||région|||loire|	https://www.millesima.fr/tous-nos-vins/france/france-regions/loire/loire-appellations.html	
france-gewurztraminer	Gewurztraminer	43	#	#	https://www.millesima.fr/france-gewurztraminer.html	
producteur-chateau-vieux-taillefer	Château Vieux Taillefer	1	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-vieux-taillefer.html	
producteur-chateau-grand-corbin-manuel	Château Grand Corbin Manuel	1	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-grand-corbin-manuel.html	
producteur-chateau-la-confession	Château La Confession	2	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-la-confession.html	
producteur-chateau-roylland	Château Roylland	9	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-roylland.html	
alsace	Alsace	166	#	||accueil|||tous nos vins|||france|||région|	https://www.millesima.fr/tous-nos-vins/france/france-regions/alsace.html	
france-riesling	Riesling	55	#	#	https://www.millesima.fr/france-riesling.html	
AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-vins/france/france-regions/alsace/AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	
LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-vins/france/france-regions/alsace/LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	
AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=%2BmjNkcklsPZ%2F8Lpbi%2BExQlzV6scnri%2BRdtWBu2Xdlp6uY9mSWPH5ILTicJxV2pW95qv%2B0iaIO4I9EwTPWfpnxrBfezOFRXIcloZxjN3aT5Ex%2Fi%2Fy31GtPqvQjDg7EU5C3wAT3OUZo1mS61Bj%2F39Idq6ALeG36JszoUYLCDOzyr0ZhpHbypyeQbKS%2BnxcQcHjU32Yj2d7s8q4L66CPVmEvQ%3D%3D&ddkey=https%3ARESTOrderCalculate	#	#	#	#	https://www.millesima.fr/webapp/wcs/stores/servlet/AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=%2BmjNkcklsPZ%2F8Lpbi%2BExQlzV6scnri%2BRdtWBu2Xdlp6uY9mSWPH5ILTicJxV2pW95qv%2B0iaIO4I9EwTPWfpnxrBfezOFRXIcloZxjN3aT5Ex%2Fi%2Fy31GtPqvQjDg7EU5C3wAT3OUZo1mS61Bj%2F39Idq6ALeG36JszoUYLCDOzyr0ZhpHbypyeQbKS%2BnxcQcHjU32Yj2d7s8q4L66CPVmEvQ%3D%3D&ddkey=https%3ARESTOrderCalculate	
ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-vins/france/france-regions/alsace/ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	
moulin-a-vent	Moulin-à-Vent	4	#	||accueil|||tous nos vins|||france|||région|||beaujolais|||appellation|	https://www.millesima.fr/moulin-a-vent.html	
beaujolais	Beaujolais	4	 La naissance de la viticulture dans le Beaujolais date, comme une grande partie du vignoble français, de l'occupation romaine. Cependant, il faudra attendre le 17 ème siècle pour assister à une véritable intensification de l'activité viticole. Si le Beaujolais est très connu pour son Beaujolais nouveau, nul ne saurait ignorer l'existence du Beaujolais Villages et des 10 crus ( Brouilly , Chénas , Chiroubles , Côtes de Brouilly , Fleurie , Juliénas , Morgon , Moulin-à-Vent , Régnié , Saint-Amour ) faisant la réputation de la région autour du Gamay . Cette volonté de hiérarchiser le vignoble sera finalement consacrée avec l'obtention des premières AOC en 1936.	||accueil|||tous nos vins|||france|||région|	https://www.millesima.fr/beaujolais.html	
Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	#	#	#	#	https://www.millesima.fr/tous-nos-vins/france/france-regions/alsace/Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	
saumur-champigny	Saumur-Champigny	11	#	||accueil|||tous nos vins|||france|||région|||loire|||appellation|	https://www.millesima.fr/saumur-champigny.html	
beaujolais	Beaujolais	4	 La naissance de la viticulture dans le Beaujolais date, comme une grande partie du vignoble français, de l'occupation romaine. Cependant, il faudra attendre le 17 ème siècle pour assister à une véritable intensification de l'activité viticole. Si le Beaujolais est très connu pour son Beaujolais nouveau, nul ne saurait ignorer l'existence du Beaujolais Villages et des 10 crus ( Brouilly , Chénas , Chiroubles , Côtes de Brouilly , Fleurie , Juliénas , Morgon , Moulin-à-Vent , Régnié , Saint-Amour ) faisant la réputation de la région autour du Gamay . Cette volonté de hiérarchiser le vignoble sera finalement consacrée avec l'obtention des premières AOC en 1936.	||accueil|||tous nos vins|||france|||région|	https://www.millesima.fr/tous-nos-vins/france/france-regions/beaujolais.html	
france-cabernet-franc	Cabernet Franc	13	#	#	https://www.millesima.fr/france-cabernet-franc.html	
cru-bourgeois-exceptionnel	Cru bourgeois exceptionnel	10	#	#	https://www.millesima.fr/cru-bourgeois-exceptionnel.html	
igp-pyrenees-orientales	IGP Pyrénées-Orientales	3	#	||accueil|||tous nos vins|||france|||région|||roussillon|||appellation|	https://www.millesima.fr/igp-pyrenees-orientales.html	
producteur-domaine-du-clos-des-fees	Domaine du Clos des Fées	9	#	||accueil|||tous nos vins|||france|||région|||roussillon|||producteur|	https://www.millesima.fr/producteur-domaine-du-clos-des-fees.html	
roussillon	Roussillon	19	#	||accueil|||tous nos vins|||france|||région|	https://www.millesima.fr/roussillon.html	
LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-vins/france/france-regions/loire/LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	
producteur-chateau-siran	Château Siran	10	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-siran.html	
producteur-chateau-poujeaux	Château Poujeaux	11	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-poujeaux.html	
roussillon-appellations	Appellation	19	#	||accueil|||tous nos vins|||france|||région|||roussillon|	https://www.millesima.fr/tous-nos-vins/france/france-regions/roussillon/roussillon-appellations.html	
roussillon	Roussillon	19	#	||accueil|||tous nos vins|||france|||région|	https://www.millesima.fr/tous-nos-vins/france/france-regions/roussillon.html	
ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-vins/france/france-regions/loire/ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	
producteur-domaine-gauby	Domaine Gauby	10	#	||accueil|||tous nos vins|||france|||région|||roussillon|||producteur|	https://www.millesima.fr/producteur-domaine-gauby.html	
igp-cotes-catalanes	IGP Côtes Catalanes	8	#	||accueil|||tous nos vins|||france|||région|||roussillon|||appellation|	https://www.millesima.fr/igp-cotes-catalanes.html	
AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-vins/france/france-regions/roussillon/AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	
